P_USER,P_CUR_ORG,TU_DON_VI,DEN_DON_VI,FROM_DATE,TO_DATE,TEN_TAP_DOAN,VNM_LOGO,CATEGORY,SOURCE,DOCUMENT_NUMBER,CURRENCY,STATUS,JOURNAL,PREIOD,CREATION_DATE,USER_NAME,REFERENCE,LINE,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,SEGMENT7,SEGMENT8,SEGMENT9,SEGMENT10,ENTERED_DR,ENTERED_CR,JL_DESCRIPTION,DOC_NUM,ACTUAL_FLAG,BATCH_NAME,INV_VOUCHER_NO,EFFECTIVE_DATE,ACCOUNTED_DR,ACCOUNTED_CR,EXTRA_COL
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/01/2024,92136969.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/01/2024,153491217.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/01/2024,35552263.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/01/2024,23346738.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/01/2024,131965376.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/01/2024,15872136.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/01/2024,153651831.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/01/2024,40315754.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/01/2024,68309617.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/01/2024,86303122.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/01/2024,112597658.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,29/02/2024,62881193.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,29/02/2024,104922256.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,29/02/2024,48142730.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,29/02/2024,105882824.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,29/02/2024,113035326.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,29/02/2024,25370900.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,29/02/2024,211369785.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,29/02/2024,59684019.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,29/02/2024,137490603.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,29/02/2024,33139245.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,29/02/2024,18564108.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/03/2024,62053042.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/03/2024,69641868.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/03/2024,103108798.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/03/2024,210252057.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/03/2024,210832854.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/03/2024,139244219.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/03/2024,24368039.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/03/2024,17618885.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/03/2024,78097060.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/03/2024,160263695.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/03/2024,64189349.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,30/04/2024,40109646.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,30/04/2024,27694254.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,30/04/2024,142560735.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,30/04/2024,12094881.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,30/04/2024,154216815.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,30/04/2024,136537476.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,30/04/2024,69107322.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,30/04/2024,180425430.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,30/04/2024,63329492.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,30/04/2024,65463392.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,30/04/2024,154758525.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/05/2024,177081943.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/05/2024,34816304.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/05/2024,157390261.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/05/2024,156192498.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/05/2024,106942889.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/05/2024,13085186.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/05/2024,16625151.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/05/2024,69906921.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/05/2024,168716071.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/05/2024,94717217.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/05/2024,46685777.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,30/06/2024,58441227.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,30/06/2024,203895066.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,30/06/2024,144872314.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,30/06/2024,147399396.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,30/06/2024,181705807.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,30/06/2024,182831645.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,30/06/2024,62182540.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,30/06/2024,52141966.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,30/06/2024,183324725.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,30/06/2024,11357406.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,30/06/2024,81862684.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH71,,,,,,,,,,,,,31/07/2024,31177799.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH75,,,,,,,,,,,,,31/07/2024,179120343.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH77,,,,,,,,,,,,,31/07/2024,115182762.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP01,,,,,,,,,,,,,31/07/2024,90283545.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP02,,,,,,,,,,,,,31/07/2024,178503235.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP04,,,,,,,,,,,,,31/07/2024,98236112.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP05,,,,,,,,,,,,,31/07/2024,55211294.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP06,,,,,,,,,,,,,31/07/2024,125918344.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP09,,,,,,,,,,,,,31/07/2024,18467387.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP11,,,,,,,,,,,,,31/07/2024,168306022.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP12,,,,,,,,,,,,,31/07/2024,37411274.0,0,
