PR_RESPON,PR_DONVI,P_ORGANIZATION_CODE,PR_FROMDATE,PR_TODATE,PR_TYPE,P_USER,COMPANY_NAME,TEN_DV,P_FROMDATE,P_TODATE,MAY,TEN_MAY,KHO,ITEM_NO,ITEM_NAME,LOT_NUMBER,UOM,DON_GIA,QTY,AMOUNT,REASON,COMMENTS,TRX_DATE,KHUVUC,SO_CTG
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,67327649.35,XVT-Xuất vật tư sản xuất,,31/01/2024,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,114428566.74,XVT-Xuất vật tư sản xuất,,31/01/2024,10201-Khu vực đóng gói,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,24771994.52,XVT-Xuất vật tư sản xuất,,31/01/2024,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,14896582.23,XVT-Xuất vật tư sản xuất,,31/01/2024,20101-Khu vực tiện ích,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,97914572.0,XVT-Xuất vật tư sản xuất,,31/01/2024,30101-Khu vực văn phòng,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,9110385.72,XVT-Xuất vật tư sản xuất,,31/01/2024,40101-Khu vực bảo trì,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,114856129.8,XVT-Xuất vật tư sản xuất,,31/01/2024,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,28385651.05,XVT-Xuất vật tư sản xuất,,31/01/2024,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,49479899.8,XVT-Xuất vật tư sản xuất,,31/01/2024,70101-Khu vực lò hơi,
,,,,,,,,FAC-A Factory A,,,,,,,,,,,,63396148.73,XVT-Xuất vật tư sản xuất,,31/01/2024,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,83582822.99,XVT-Xuất vật tư sản xuất,,31/01/2024,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,45462204.06,XVT-Xuất vật tư sản xuất,,31/01/2024,10201-Khu vực đóng gói,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,77215530.19,XVT-Xuất vật tư sản xuất,,31/01/2024,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,34097687.69,XVT-Xuất vật tư sản xuất,,31/01/2024,20101-Khu vực tiện ích,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,78531799.93,XVT-Xuất vật tư sản xuất,,31/01/2024,30101-Khu vực văn phòng,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,83892335.01,XVT-Xuất vật tư sản xuất,,31/01/2024,40101-Khu vực bảo trì,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,16376040.58,XVT-Xuất vật tư sản xuất,,31/01/2024,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,158433469.4,XVT-Xuất vật tư sản xuất,,31/01/2024,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,43234379.0,XVT-Xuất vật tư sản xuất,,31/01/2024,70101-Khu vực lò hơi,
,,,,,,,,FAC-B Factory B,,,,,,,,,,,,102342708.23,XVT-Xuất vật tư sản xuất,,31/01/2024,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,22662705.26,XVT-Xuất vật tư sản xuất,,31/01/2024,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,11212618.83,XVT-Xuất vật tư sản xuất,,31/01/2024,10201-Khu vực đóng gói,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,44596382.61,XVT-Xuất vật tư sản xuất,,31/01/2024,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,50500319.03,XVT-Xuất vật tư sản xuất,,31/01/2024,20101-Khu vực tiện ích,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,76305513.26,XVT-Xuất vật tư sản xuất,,31/01/2024,30101-Khu vực văn phòng,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,157606728.45,XVT-Xuất vật tư sản xuất,,31/01/2024,40101-Khu vực bảo trì,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,157955472.24,XVT-Xuất vật tư sản xuất,,31/01/2024,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,103300687.21,XVT-Xuất vật tư sản xuất,,31/01/2024,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,16205096.27,XVT-Xuất vật tư sản xuất,,31/01/2024,70101-Khu vực lò hơi,
,,,,,,,,FAC-C Factory C,,,,,,,,,,,,10952309.54,XVT-Xuất vật tư sản xuất,,31/01/2024,70501-Hệ thống sản xuất lon sữa đặc 380g - số 01,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,57149322.97,XVT-Xuất vật tư sản xuất,,31/01/2024,10101-Khu vực sản xuất chính,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,119788014.55,XVT-Xuất vật tư sản xuất,,31/01/2024,10201-Khu vực đóng gói,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,46321321.97,XVT-Xuất vật tư sản xuất,,31/01/2024,10301-Khu vực kho thành phẩm,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,27739837.17,XVT-Xuất vật tư sản xuất,,31/01/2024,20101-Khu vực tiện ích,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,18119125.19,XVT-Xuất vật tư sản xuất,,31/01/2024,30101-Khu vực văn phòng,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,106402627.17,XVT-Xuất vật tư sản xuất,,31/01/2024,40101-Khu vực bảo trì,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,6349676.78,XVT-Xuất vật tư sản xuất,,31/01/2024,50101-Khu vực kiểm tra chất lượng,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,114879405.45,XVT-Xuất vật tư sản xuất,,31/01/2024,60101-Khu vực xử lý nước thải,
,,,,,,,,FAC-D Factory D,,,,,,,,,,,,101904354.53,XVT-Xuất vật tư sản xuất,,31/01/2024,70101-Khu vực lò hơi,
