P_USER,P_CUR_ORG,TU_DON_VI,DEN_DON_VI,FROM_DATE,TO_DATE,TEN_TAP_DOAN,VNM_LOGO,SOURCE,DOCUMENT_NUMBER,CURRENCY,STATUS,JOURNAL,PREIOD,CREATION_DATE,USER_NAME,REFERENCE,LINE,SEGMENT1,SEGMENT3,SEGMENT6,SEGMENT7,SEGMENT9,SEGMENT10,ENTERED_DR,ENTERED_CR,DOC_NUM,ACTUAL_FLAG,BATCH_NAME,INV_VOUCHER_NO,EFFECTIVE_DATE,SEGMENT2,SEGMENT4,SEGMENT5,SEGMENT8,ACCOUNTED_DR,ACCOUNTED_CR,JL_DESCRIPTION,EXTRA_COL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627100,MA11,03XXXX,48050984.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627100,MA11,05XXXX,48050984.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627100,MA21,07PROU,153812535.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627100,MA51,03XXXX,336833333.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627100,MA51,08XXXX,336833333.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627400,MD01,07XXXX,62459740.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627400,MD02,01XXXX,382153329.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH01,07PROU,215827483.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH01,03XXXX,215827483.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH02,07PROU,168596108.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH02,03XXXX,168596108.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627200,MB03,08XXXX,275817105.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627200,MB05,07XXXX,242812151.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627200,MB05,03XXXX,242812151.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627200,MB06,02XXXX,365918056.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH14,05XXXX,295806627.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH14,08XXXX,295806627.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH40,08XXXX,213472871.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH40,02XXXX,213472871.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH43,05XXXX,162469492.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH13,04XXXX,241531040.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH11,04XXXX,174359069.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627300,MC02,01XXXX,79066058.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627300,MC02,06XXXX,79066058.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627300,MC05,08XXXX,57733948.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH33,08XXXX,78776695.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627700,MH33,07XXXX,78776695.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627800,MN01,08XXXX,292872790.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627800,MN01,04XXXX,292872790.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627800,MP04,08XXXX,136350737.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,240,627800,MP04,04XXXX,136350737.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,251,627100,MA11,07PROU,56598000.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,251,627100,MA21,04XXXX,185346990.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,251,627100,MA21,08XXXX,185346990.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,251,627100,MA51,07XXXX,100578410.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,251,627400,MD01,08XXXX,277340014.0,0,Journal Import Created,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-31,251,627400,MD01,05XXXX,277340014.0,0,Journal Import Created,
