START_DATE,END_DATE,LEDGER,COST_ORGANIZATION,ITEM_NUMBER,ITEM_DESCRIPTION,CALENDAR_CODE,PERIOD_CODE,COST_MTHD_CODE,SOURCE_DESC,ORGANIZATION_CODE,REFERENCE,COST_CMPNTCLS_CODE,COST_ANALYSIS_CODE,COST_AMT,TRANS_QTY,AMOUNT,CURRENCY_CODE,PRIMARY_UOM_CODE,SUPPLIER_ORG,TRANS_DATE,PO_NUMBER,RATE,INVOICE_NUM,VENDOR_NAME,VENDOR_SITE_CODE,CUR_ORG,ITEM_TYPE
,,,,01-002,Product 01XXXX,,,,Batch Material Cost,TND,,MAT,,227229.7771,981,466576114.17,VND,,,31/01/2025,,,,,,,FG
,,,,01-027,Product 01XXXX,,,,Batch Resource Cost,TND,,MAT,,104839.3339,4989,151859503.43,VND,,,31/01/2025,,,,,,,FG
,,,,02-007,Product 02XXXX,,,,Batch Material Cost,TND,,MAT,,76713.7546,3748,142979710.0,VND,,,31/01/2025,,,,,,,FG
,,,,02-021,Product 02XXXX,,,,Batch Resource Cost,TND,,MAT,,175316.9559,3847,277879937.72,VND,,,31/01/2025,,,,,,,FG
,,,,03-029,Product 03XXXX,,,,Batch Material Cost,TND,,MAT,,195271.5658,1479,347344207.13,VND,,,31/01/2025,,,,,,,FG
,,,,03-004,Product 03XXXX,,,,Batch Resource Cost,TND,,MAT,,312711.7082,4770,743573628.8,VND,,,31/01/2025,,,,,,,FG
,,,,04-027,Product 04XXXX,,,,Batch Material Cost,TND,,MAT,,111221.6652,1639,98006117.86,VND,,,31/01/2025,,,,,,,FG
,,,,04-001,Product 04XXXX,,,,Value Adjustments,TND,,MAT,,432691.3937,1205,645037596.06,VND,,,31/01/2025,,,,,,,FG
,,,,05-013,Product 05XXXX,,,,Batch Material Cost,TND,,MAT,,576347.2411,4678,729342411.73,VND,,,31/01/2025,,,,,,,FG
,,,,05-018,Product 05XXXX,,,,Batch Resource Cost,TND,,MAT,,88244.7399,2889,152541758.64,VND,,,31/01/2025,,,,,,,FG
,,,,06-001,Product 06XXXX,,,,Batch Material Cost,TND,,MAT,,516551.4514,3292,707123045.38,VND,,,31/01/2025,,,,,,,FG
,,,,06-004,Product 06XXXX,,,,Unit Cost Adjustments,TND,,MAT,,601712.047,2367,697889944.82,VND,,,31/01/2025,,,,,,,FG
,,,,07-005,Product 07PROU,,,,Batch Material Cost,TND,,MAT,,242334.2793,4410,468876133.53,VND,,,31/01/2025,,,,,,,FG
,,,,07-022,Product 07PROU,,,,Unit Cost Adjustments,TND,,MAT,,135260.2985,765,246160933.54,VND,,,31/01/2025,,,,,,,FG
,,,,07-020,Product 07XXXX,,,,Unit Cost Adjustments,TND,,MAT,,419553.5401,249,668800345.22,VND,,,31/01/2025,,,,,,,FG
,,,,07-005,Product 07XXXX,,,,Batch Material Cost,TND,,MAT,,90058.4724,2836,172705252.01,VND,,,31/01/2025,,,,,,,FG
,,,,08-021,Product 08XXXX,,,,Unit Cost Adjustments,TND,,MAT,,399896.5613,2035,470021074.83,VND,,,31/01/2025,,,,,,,FG
,,,,08-028,Product 08XXXX,,,,Batch Resource Cost,TND,,MAT,,210930.4919,2573,514712441.48,VND,,,31/01/2025,,,,,,,FG
,,,,01-023,Product 01XXXX,,,,Batch Material Cost,TTD,,MAT,,887839.6058,642,716915153.42,VND,,,31/01/2025,,,,,,,FG
,,,,01-002,Product 01XXXX,,,,Unit Cost Adjustments,TTD,,MAT,,540360.9836,4610,629425113.72,VND,,,31/01/2025,,,,,,,FG
,,,,02-029,Product 02XXXX,,,,Batch Material Cost,TTD,,MAT,,56865.7312,657,83333387.32,VND,,,31/01/2025,,,,,,,FG
,,,,02-014,Product 02XXXX,,,,Batch Resource Cost,TTD,,MAT,,156771.1868,1200,347290614.6,VND,,,31/01/2025,,,,,,,FG
,,,,03-025,Product 03XXXX,,,,Unit Cost Adjustments,TTD,,MAT,,342378.7902,2101,530671033.87,VND,,,31/01/2025,,,,,,,FG
,,,,03-016,Product 03XXXX,,,,Batch Material Cost,TTD,,MAT,,554961.3287,1531,598190316.02,VND,,,31/01/2025,,,,,,,FG
,,,,04-016,Product 04XXXX,,,,Batch Material Cost,TTD,,MAT,,236873.2253,4074,410182994.65,VND,,,31/01/2025,,,,,,,FG
,,,,04-019,Product 04XXXX,,,,Unit Cost Adjustments,TTD,,MAT,,395549.3894,1996,337055993.98,VND,,,31/01/2025,,,,,,,FG
,,,,05-011,Product 05XXXX,,,,Batch Material Cost,TTD,,MAT,,38298.0163,2807,75917020.59,VND,,,31/01/2025,,,,,,,FG
,,,,05-025,Product 05XXXX,,,,Unit Cost Adjustments,TTD,,MAT,,333905.8795,3379,719581436.29,VND,,,31/01/2025,,,,,,,FG
,,,,06-027,Product 06XXXX,,,,Unit Cost Adjustments,TTD,,MAT,,487158.6431,4589,534288485.54,VND,,,31/01/2025,,,,,,,FG
,,,,06-008,Product 06XXXX,,,,Batch Material Cost,TTD,,MAT,,256414.9605,3197,369070209.69,VND,,,31/01/2025,,,,,,,FG
,,,,07-022,Product 07PROU,,,,Batch Material Cost,TTD,,MAT,,105338.2259,3890,100906595.65,VND,,,31/01/2025,,,,,,,FG
,,,,07-012,Product 07PROU,,,,Unit Cost Adjustments,TTD,,MAT,,250376.6082,712,572973425.69,VND,,,31/01/2025,,,,,,,FG
,,,,07-010,Product 07XXXX,,,,Batch Material Cost,TTD,,MAT,,331915.7978,1310,579651987.38,VND,,,31/01/2025,,,,,,,FG
,,,,07-005,Product 07XXXX,,,,Batch Resource Cost,TTD,,MAT,,134273.8967,1608,280165932.48,VND,,,31/01/2025,,,,,,,FG
