PERIOD,CodeNM,ITEM,NHÓM,Sản Lượng 23
2023-01-31,FAC-A,01-003,01XXXX,121084.0
2023-01-31,FAC-A,01-004,01XXXX,330181.0
2023-01-31,FAC-A,01-005,01XXXX,249937.0
2023-01-31,FAC-A,01-009,01XXXX,38916.0
2023-01-31,FAC-A,01-010,01XXXX,397582.0
2023-01-31,FAC-A,01-012,01XXXX,324720.0
2023-01-31,FAC-A,01-013,01XXXX,368860.0
2023-01-31,FAC-A,01-014,01XXXX,370509.0
2023-01-31,FAC-A,01-015,01XXXX,218747.0
2023-01-31,FAC-A,01-016,01XXXX,140230.0
2023-01-31,FAC-A,01-017,01XXXX,170073.0
2023-01-31,FAC-A,01-018,01XXXX,217833.0
2023-01-31,FAC-A,01-019,01XXXX,74228.0
2023-01-31,FAC-A,01-021,01XXXX,395614.0
2023-01-31,FAC-A,01-022,01XXXX,276092.0
2023-01-31,FAC-A,01-023,01XXXX,223842.0
2023-01-31,FAC-A,01-025,01XXXX,56981.0
2023-01-31,FAC-A,01-027,01XXXX,56337.0
2023-01-31,FAC-A,01-029,01XXXX,107691.0
2023-01-31,FAC-A,02-001,02XXXX,332166.0
2023-01-31,FAC-A,02-002,02XXXX,95981.0
2023-01-31,FAC-A,02-005,02XXXX,261904.0
2023-01-31,FAC-A,02-007,02XXXX,74163.0
2023-01-31,FAC-A,02-008,02XXXX,97672.0
2023-01-31,FAC-A,02-010,02XXXX,133682.0
2023-01-31,FAC-A,02-011,02XXXX,351279.0
2023-01-31,FAC-A,02-012,02XXXX,358315.0
2023-01-31,FAC-A,02-013,02XXXX,384404.0
2023-01-31,FAC-A,02-014,02XXXX,352538.0
2023-01-31,FAC-A,02-016,02XXXX,278898.0
2023-01-31,FAC-A,02-017,02XXXX,237978.0
2023-01-31,FAC-A,02-018,02XXXX,86041.0
2023-01-31,FAC-A,02-019,02XXXX,315057.0
2023-01-31,FAC-A,02-021,02XXXX,215309.0
2023-01-31,FAC-A,02-022,02XXXX,385451.0
2023-01-31,FAC-A,02-023,02XXXX,8977.0
2023-01-31,FAC-A,02-025,02XXXX,345638.0
2023-01-31,FAC-A,03-002,03XXXX,299456.0
2023-01-31,FAC-A,03-004,03XXXX,368707.0
2023-01-31,FAC-A,03-005,03XXXX,100927.0
2023-01-31,FAC-A,03-006,03XXXX,422557.0
2023-01-31,FAC-A,03-008,03XXXX,192382.0
2023-01-31,FAC-A,03-010,03XXXX,374747.0
2023-01-31,FAC-A,03-011,03XXXX,211773.0
2023-01-31,FAC-A,03-012,03XXXX,249425.0
2023-01-31,FAC-A,03-013,03XXXX,86770.0
2023-01-31,FAC-A,03-014,03XXXX,215161.0
2023-01-31,FAC-A,03-015,03XXXX,319262.0
2023-01-31,FAC-A,04-003,04XXXX,200947.0
2023-01-31,FAC-A,04-004,04XXXX,313434.0
2023-01-31,FAC-A,04-005,04XXXX,51426.0
2023-01-31,FAC-A,04-006,04XXXX,217961.0
2023-01-31,FAC-A,04-009,04XXXX,83453.0
2023-01-31,FAC-A,04-012,04XXXX,59676.0
2023-01-31,FAC-A,04-014,04XXXX,352999.0
2023-01-31,FAC-A,04-015,04XXXX,209802.0
2023-01-31,FAC-A,04-016,04XXXX,226894.0
2023-01-31,FAC-A,04-018,04XXXX,354574.0
2023-01-31,FAC-A,04-019,04XXXX,280293.0
2023-01-31,FAC-A,04-020,04XXXX,82516.0
2023-01-31,FAC-A,04-021,04XXXX,138274.0
2023-01-31,FAC-A,04-022,04XXXX,52339.0
2023-01-31,FAC-A,04-023,04XXXX,404011.0
2023-01-31,FAC-A,04-024,04XXXX,198051.0
2023-01-31,FAC-A,04-025,04XXXX,87190.0
2023-01-31,FAC-A,04-027,04XXXX,227488.0
2023-01-31,FAC-A,04-030,04XXXX,401678.0
2023-01-31,FAC-A,04-032,04XXXX,83921.0
2023-01-31,FAC-A,04-033,04XXXX,352514.0
2023-01-31,FAC-A,04-034,04XXXX,96862.0
2023-01-31,FAC-A,04-035,04XXXX,222935.0
2023-01-31,FAC-A,04-036,04XXXX,373925.0
