PERIOD,CodeNM,ITEM,NHÓM,Sản Lượng 24
2024-01-31,FAC-A,01-001,01XXXX,167891.0
2024-01-31,FAC-A,01-002,01XXXX,159495.0
2024-01-31,FAC-A,01-003,01XXXX,172259.0
2024-01-31,FAC-A,01-004,01XXXX,323897.0
2024-01-31,FAC-A,01-005,01XXXX,312400.0
2024-01-31,FAC-A,01-007,01XXXX,351961.0
2024-01-31,FAC-A,01-008,01XXXX,190899.0
2024-01-31,FAC-A,01-010,01XXXX,232539.0
2024-01-31,FAC-A,01-011,01XXXX,316946.0
2024-01-31,FAC-A,01-012,01XXXX,436886.0
2024-01-31,FAC-A,01-013,01XXXX,225985.0
2024-01-31,FAC-A,01-014,01XXXX,387554.0
2024-01-31,FAC-A,01-015,01XXXX,151433.0
2024-01-31,FAC-A,01-016,01XXXX,382381.0
2024-01-31,FAC-A,01-017,01XXXX,64370.0
2024-01-31,FAC-A,01-018,01XXXX,138027.0
2024-01-31,FAC-A,01-020,01XXXX,306627.0
2024-01-31,FAC-A,01-022,01XXXX,30930.0
2024-01-31,FAC-A,01-023,01XXXX,250522.0
2024-01-31,FAC-A,01-024,01XXXX,164073.0
2024-01-31,FAC-A,01-025,01XXXX,242043.0
2024-01-31,FAC-A,01-026,01XXXX,375343.0
2024-01-31,FAC-A,01-027,01XXXX,184359.0
2024-01-31,FAC-A,01-028,01XXXX,238485.0
2024-01-31,FAC-A,01-030,01XXXX,263621.0
2024-01-31,FAC-A,02-002,02XXXX,317272.0
2024-01-31,FAC-A,02-003,02XXXX,278340.0
2024-01-31,FAC-A,02-004,02XXXX,353576.0
2024-01-31,FAC-A,02-007,02XXXX,109217.0
2024-01-31,FAC-A,02-008,02XXXX,258472.0
2024-01-31,FAC-A,02-009,02XXXX,105996.0
2024-01-31,FAC-A,02-010,02XXXX,326589.0
2024-01-31,FAC-A,02-011,02XXXX,12101.0
2024-01-31,FAC-A,02-014,02XXXX,191517.0
2024-01-31,FAC-A,02-015,02XXXX,136701.0
2024-01-31,FAC-A,02-016,02XXXX,77629.0
2024-01-31,FAC-A,02-017,02XXXX,205644.0
2024-01-31,FAC-A,02-018,02XXXX,487067.0
2024-01-31,FAC-A,02-020,02XXXX,426201.0
2024-01-31,FAC-A,02-021,02XXXX,143904.0
2024-01-31,FAC-A,02-022,02XXXX,25151.0
2024-01-31,FAC-A,02-024,02XXXX,223542.0
2024-01-31,FAC-A,02-025,02XXXX,112191.0
2024-01-31,FAC-A,03-001,03XXXX,223646.0
2024-01-31,FAC-A,03-003,03XXXX,250500.0
2024-01-31,FAC-A,03-005,03XXXX,116795.0
2024-01-31,FAC-A,03-006,03XXXX,423934.0
2024-01-31,FAC-A,03-008,03XXXX,292364.0
2024-01-31,FAC-A,03-010,03XXXX,454295.0
2024-01-31,FAC-A,03-011,03XXXX,296149.0
2024-01-31,FAC-A,03-013,03XXXX,382848.0
2024-01-31,FAC-A,03-014,03XXXX,161718.0
2024-01-31,FAC-A,04-002,04XXXX,190869.0
2024-01-31,FAC-A,04-003,04XXXX,55969.0
2024-01-31,FAC-A,04-006,04XXXX,239848.0
2024-01-31,FAC-A,04-007,04XXXX,199549.0
2024-01-31,FAC-A,04-008,04XXXX,326272.0
2024-01-31,FAC-A,04-011,04XXXX,88593.0
2024-01-31,FAC-A,04-013,04XXXX,374762.0
2024-01-31,FAC-A,04-014,04XXXX,145759.0
2024-01-31,FAC-A,04-015,04XXXX,276435.0
2024-01-31,FAC-A,04-016,04XXXX,66360.0
2024-01-31,FAC-A,04-018,04XXXX,435820.0
2024-01-31,FAC-A,04-019,04XXXX,70879.0
2024-01-31,FAC-A,04-020,04XXXX,235572.0
2024-01-31,FAC-A,04-021,04XXXX,299773.0
2024-01-31,FAC-A,04-022,04XXXX,222661.0
2024-01-31,FAC-A,04-023,04XXXX,90399.0
2024-01-31,FAC-A,04-024,04XXXX,247722.0
2024-01-31,FAC-A,04-025,04XXXX,244289.0
2024-01-31,FAC-A,04-026,04XXXX,219618.0
2024-01-31,FAC-A,04-027,04XXXX,263251.0
2024-01-31,FAC-A,04-028,04XXXX,164334.0
2024-01-31,FAC-A,04-029,04XXXX,478100.0
2024-01-31,FAC-A,04-030,04XXXX,168537.0
2024-01-31,FAC-A,04-031,04XXXX,301681.0
2024-01-31,FAC-A,04-032,04XXXX,119376.0
2024-01-31,FAC-A,04-033,04XXXX,279198.0
2024-01-31,FAC-A,04-034,04XXXX,225088.0
2024-01-31,FAC-A,04-037,04XXXX,195765.0
2024-01-31,FAC-A,04-038,04XXXX,319316.0
2024-01-31,FAC-A,04-039,04XXXX,469989.0
2024-01-31,FAC-A,04-041,04XXXX,37615.0
2024-01-31,FAC-A,04-042,04XXXX,138522.0
2024-01-31,FAC-A,04-043,04XXXX,362860.0
2024-01-31,FAC-A,04-044,04XXXX,170267.0
2024-01-31,FAC-A,05-001,05XXXX,204766.0
2024-01-31,FAC-A,05-003,05XXXX,90140.0
2024-01-31,FAC-A,05-004,05XXXX,464071.0
2024-01-31,FAC-A,05-005,05XXXX,82581.0
2024-01-31,FAC-A,05-006,05XXXX,181459.0
2024-01-31,FAC-A,05-007,05XXXX,80090.0
2024-01-31,FAC-A,05-008,05XXXX,425389.0
2024-01-31,FAC-A,05-009,05XXXX,241854.0
2024-01-31,FAC-A,05-011,05XXXX,508397.0
2024-01-31,FAC-A,05-012,05XXXX,196406.0
2024-01-31,FAC-A,05-013,05XXXX,66452.0
2024-01-31,FAC-A,05-015,05XXXX,132915.0
2024-01-31,FAC-A,05-016,05XXXX,461412.0
2024-01-31,FAC-A,05-019,05XXXX,218518.0
2024-01-31,FAC-A,06-001,06XXXX,99098.0
2024-01-31,FAC-A,06-002,06XXXX,68165.0
2024-01-31,FAC-A,06-003,06XXXX,300121.0
2024-01-31,FAC-A,06-005,06XXXX,137414.0
2024-01-31,FAC-A,06-007,06XXXX,438995.0
2024-01-31,FAC-A,06-008,06XXXX,155281.0
2024-01-31,FAC-A,06-009,06XXXX,215698.0
2024-01-31,FAC-A,06-010,06XXXX,161320.0
2024-01-31,FAC-A,06-012,06XXXX,33622.0
2024-01-31,FAC-A,06-013,06XXXX,83965.0
2024-01-31,FAC-A,06-016,06XXXX,332721.0
2024-01-31,FAC-A,06-017,06XXXX,199916.0
2024-01-31,FAC-A,06-018,06XXXX,397996.0
2024-01-31,FAC-A,07-001,07PROU,240270.0
2024-01-31,FAC-A,07-002,07PROU,293136.0
2024-01-31,FAC-A,07-003,07PROU,119577.0
2024-01-31,FAC-A,07-004,07PROU,202337.0
2024-01-31,FAC-A,07-005,07PROU,83105.0
2024-01-31,FAC-A,07-007,07PROU,293441.0
2024-01-31,FAC-A,07-009,07PROU,230184.0
2024-01-31,FAC-A,07-010,07PROU,304056.0
2024-01-31,FAC-A,07-011,07PROU,351216.0
2024-01-31,FAC-A,07-012,07PROU,413782.0
2024-01-31,FAC-A,07-002,07XXXX,210473.0
2024-01-31,FAC-A,07-004,07XXXX,178324.0
2024-01-31,FAC-A,07-005,07XXXX,204248.0
2024-01-31,FAC-A,07-006,07XXXX,247056.0
2024-01-31,FAC-A,07-007,07XXXX,31066.0
2024-01-31,FAC-A,07-008,07XXXX,268148.0
2024-01-31,FAC-A,07-009,07XXXX,377317.0
2024-01-31,FAC-A,07-010,07XXXX,34199.0
2024-01-31,FAC-A,07-012,07XXXX,183516.0
2024-01-31,FAC-A,07-013,07XXXX,211861.0
2024-01-31,FAC-A,07-016,07XXXX,322544.0
2024-01-31,FAC-A,07-017,07XXXX,241842.0
2024-01-31,FAC-A,07-018,07XXXX,148144.0
2024-01-31,FAC-A,07-019,07XXXX,312931.0
2024-01-31,FAC-A,07-020,07XXXX,321255.0
2024-01-31,FAC-A,07-021,07XXXX,293608.0
2024-01-31,FAC-A,08-002,08XXXX,21003.0
2024-01-31,FAC-A,08-003,08XXXX,69972.0
