P_USER,P_CUR_ORG,TU_DON_VI,DEN_DON_VI,FROM_DATE,TO_DATE,TEN_TAP_DOAN,VNM_LOGO,CATEGORY,SOURCE,DOCUMENT_NUMBER,CURRENCY,STATUS,JOURNAL,PREIOD,CREATION_DATE,USER_NAME,REFERENCE,LINE,SEGMENT1,SEGMENT2,SEGMENT3,SEGMENT4,SEGMENT5,SEGMENT6,SEGMENT7,SEGMENT8,SEGMENT9,SEGMENT10,ENTERED_DR,ENTERED_CR,JL_DESCRIPTION,DOC_NUM,ACTUAL_FLAG,BATCH_NAME,INV_VOUCHER_NO,EFFECTIVE_DATE,ACCOUNTED_DR,ACCOUNTED_CR,EXTRA_COL
,,,,,,,,,,,,,,,,,,,,,,,MH30,,,,,,,,,,,,,31/01/2024,22977512.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH31,,,,,,,,,,,,,31/01/2024,189104942.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH32,,,,,,,,,,,,,31/01/2024,202676275.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH33,,,,,,,,,,,,,31/01/2024,176937003.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH34,,,,,,,,,,,,,31/01/2024,158439142.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH50,,,,,,,,,,,,,31/01/2024,84967301.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH51,,,,,,,,,,,,,31/01/2024,197362092.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH52,,,,,,,,,,,,,31/01/2024,56194948.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH53,,,,,,,,,,,,,31/01/2024,122021457.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH56,,,,,,,,,,,,,31/01/2024,33201218.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH57,,,,,,,,,,,,,31/01/2024,117751712.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH58,,,,,,,,,,,,,31/01/2024,120329552.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MH65,,,,,,,,,,,,,31/01/2024,116962142.0,0,
,,,,,,,,,,,,,,,,,,,,,,,MP10,,,,,,,,,,,,,31/01/2024,171451744.0,0,
